id,name,link,osm_url,lat,lon,categories,bookable,link_ok,open_now,street,housenumber,postcode,city,address
node/4754149824,Granngården,http://www.granngarden.se/store/Varberg,https://www.openstreetmap.org/node/4754149824,57.1216768,12.2836813,robot_mower_seller,,,,,,,,
node/4754149825,Granngården,http://www.granngarden.se/store/Halmstad,https://www.openstreetmap.org/node/4754149825,56.6501298,12.8958176,robot_mower_seller,,,,,,,,
node/4754168063,Granngården,http://www.granngarden.se/,https://www.openstreetmap.org/node/4754168063,57.7130623,12.9589812,robot_mower_seller,,,,,,,,
node/4754172348,Granngården,http://www.granngarden.se/,https://www.openstreetmap.org/node/4754172348,58.5727874,12.0021261,robot_mower_seller,,,,,,,,
node/4754172451,Granngården,http://www.granngarden.se/store/Helsingborg,https://www.openstreetmap.org/node/4754172451,56.093161,12.765607,robot_mower_seller,,,,,,,,
node/4754178221,Granngården,http://www.granngarden.se/,https://www.openstreetmap.org/node/4754178221,59.0453421,12.6810536,robot_mower_seller,,,,,,,,
node/4787707610,TOOLS,http://www.tools.se/,https://www.openstreetmap.org/node/4787707610,57.6590617,11.9384478,robot_mower_seller,,,,,,,,
node/4829302884,Klassiska Byggvaror,https://www.klassiskabyggvaror.se/,https://www.openstreetmap.org/node/4829302884,60.2798934,15.9866449,robot_mower_seller,,,,,,,,
node/4871469490,Swedol,https://www.swedol.se/,https://www.openstreetmap.org/node/4871469490,62.4222913,17.3442608,robot_mower_seller,,,,Norra vägen,25,856 50,Sundsvall,"Norra vägen 25, 856 50 Sundsvall"
node/4876733136,Byggmax,https://www.byggmax.se/,https://www.openstreetmap.org/node/4876733136,56.2494546,12.8959347,robot_mower_seller,,,,,,,,
node/4909470320,Centralkonditoriet,https://centralkonditoriet.com/,https://www.openstreetmap.org/node/4909470320,59.8568065,17.6438485,robot_mower_seller,,,,Vretgränd,16,75322,Uppsala,"Vretgränd 16, 75322 Uppsala"
node/4936148255,Maskinkontakten i Uppland AB,https://www.verktygsproffsen.se/contact.php,https://www.openstreetmap.org/node/4936148255,59.6146935,17.8810499,robot_mower_seller,,,,Söderbyvägen,3C,19560,Arlandastad,"Söderbyvägen 3C, 19560 Arlandastad"
node/4945291096,NetOnNet,https://www.netonnet.se/content/lagershop/43/falun,https://www.openstreetmap.org/node/4945291096,60.6076094,15.6567568,robot_mower_seller,,,,Bataljonsvägen,9,791 40,Falun,"Bataljonsvägen 9, 791 40 Falun"
